E C H O 0 B O I N G 0 0 B A S 0 E D S O N 
A L O U 0 I N N I E S 0 E D T 0 Y A N N I 
R A T S 0 T E N A N T 0 L O O S E R O C K 
L U F T 0 T I S 0 O U T G R O W 0 K O O 0 
O D O 0 T E D 0 G A B R I E L I 0 S P U R 
B I R T H R A T E 0 0 A A S 0 S P H E R E 
E A T E R S 0 E N S I G N 0 0 S O A R T O 
0 0 E N O W 0 E X O T I C 0 0 F E D 0 0 0 
C I A 0 W E L D 0 R I C O T T A 0 O C H S 
D N C 0 N E O 0 W T S 0 N O A M 0 W H A T 
R A H M 0 T U S H 0 0 0 G I G I 0 S O H O 
O N E I 0 S I S I 0 S N O 0 O L E 0 C A P 
M E R L 0 Y E W T R E E 0 O N Y X 0 O S S 
0 0 0 K L M 0 0 E E R I E R 0 R I A L 0 0 
B I G T O P 0 0 S C A L D S 0 O T T A W A 
O H O H O H 0 R A U 0 0 Y O U B E T T E R 
N O T I 0 O P E N S E A S 0 R I D 0 E N C 
0 P R S 0 N U D G E R S 0 J A N 0 E D D A 
B E E T A Y L O R 0 S K E I N S 0 A R I D 
I S A L L 0 L E I 0 E M I L I O 0 R O N I 
T O L E T 0 S S A 0 0 E S T A N 0 L P G A 
