A S P I C 0 0 C A M E A 0 A W O L 0 A C R 
S O R E A T 0 O L A N D 0 L A V A 0 T O O 
W O O D Y O U M I N E D 0 B L E S S E R S 
E N S 0 0 O L M O S 0 N E E D T H E D O E 
A Y E O F K N U T E 0 0 P R O T 0 D I N T 
T I A R A 0 A N O 0 0 L O T R 0 C A R A T 
0 0 N O D O S E 0 M A I D O F M E T T L E 
M A D M E N 0 0 0 A L E E 0 0 I N I 0 0 0 
A S K E R S 0 H A S I T 0 S L O P E D 0 0 
C O H O S 0 C E S T G O O D E N I E E T 0 
K A A 0 0 A R I A 0 0 0 A L A E 0 0 R O D 
0 K E E T F O R P R P P H E D 0 T I E T O 
0 0 Y A C H T S 0 A M O U R 0 D I M W I T 
0 0 0 I W O 0 0 C U E R 0 0 0 S P A T E S 
H A L V E T H E R I T E 0 B R O O C H 0 0 
A M E E R 0 O X E N 0 0 L O O 0 F O E H N 
I P S O 0 I N R E 0 0 B Y R D O F P R A Y 
L E S I S M O O R E 0 U N D E R 0 0 E L M 
I D O L A T R Y 0 A D S L E O F W H E T E 
N U N 0 S H E A 0 S N E E R 0 F O R G E T 
G P S 0 H E E L 0 E D D Y S 0 0 W E N D S 
