Y E S M 0 P L E A 0 S T O R K 0 S T O C K 
A L T O 0 H I N D 0 Y A L E U 0 R E P L Y 
M O O T 0 O L A V 0 S M E A R 0 T A P E D 
A P P O I N T M E N T I N S A M A R R A 0 
H E A R S E 0 I R S 0 0 0 O L A 0 F E N G 
A R T I S T E 0 B A C K I N T H E U S S R 
0 0 0 N E A L S 0 0 O I S 0 0 0 E L S I E 
O N E N I G H T I N B A N G K O K 0 E N E 
H U R 0 0 0 I N K Y 0 S T O I C 0 M S G R 
S N I F F S 0 0 E E L 0 0 B L O N D 0 0 0 
O N C E U P O N A T I M E I N M E X I C O 
0 0 0 D R A C O 0 0 P A L 0 0 E D I T O R 
A N I S 0 I T A L O 0 R I O T 0 0 0 O S E 
V I M 0 A N A M E R I C A N I N P A R I S 
E L W E S 0 0 0 S A C 0 0 S K O A L 0 0 0 
D E A T H I N V E N I C E 0 I T S A B E T 
A B I E 0 K O I 0 0 0 R N A 0 S E N I L E 
0 A T R E E G R O W S I N B R O O K L Y N 
C S I N Y 0 G I J O E 0 E A C H 0 I L S E 
D I N A R 0 I L O N A 0 A T M O 0 N E E T 
E N G L E 0 N E S T S 0 D E P T 0 G R E S 
