S T A R 0 A N N A S 0 C H A O S 0 A C T V 
C A B O 0 S T E N T 0 S U N N I 0 B A R E 
A B E D 0 T H E G R E A T D E M O C R A T 
B O T H E R 0 D I O R 0 0 R E I N 0 R M S 
B U T A V I S I O N O F R E A L I T Y 0 0 
E L E M E N T 0 0 G I L A 0 R E T R A C E 
D I D 0 0 G A S P 0 C A N A 0 0 0 E W O K 
0 0 0 A R E V O L T A G A I N S T F A T E 
W E L L I N E V E R 0 0 T R E E S 0 Y E S 
I T S P A T 0 0 N O V O 0 E X T R A 0 0 0 
M A T H 0 0 W H A T I S A R T 0 0 Z O O M 
0 0 0 A U D I O 0 H E A P 0 0 D O U B L E 
A B E 0 N I T R E 0 0 G E T M A R R I E D 
S E L F I S H A N D P E R V E R S E 0 0 0 
I A M I 0 0 0 E D I E 0 S A R K 0 0 A D O 
F U S S P O T 0 U N A S 0 0 C H U G G E D 
0 0 T H E P R O P E R T A S K O F L I F E 
W A R 0 A P A R 0 0 L I E N 0 R O U T E S 
A J E A L O U S M I S T R E S S 0 T A R S 
G A E L 0 S M E A R 0 C E L I E 0 E T T A 
E X T S 0 E A R N S 0 H O L E S 0 N E O N 
