C H E F 0 S C R A P E 0 W O M A N 0 T O G 
A O D A 0 L A I C A L 0 H Y D R A 0 O D O 
T R E A T O F V E R S A I L L E S 0 L O P 
O N S T A G E 0 S T A R Z 0 I S A I D N O 
0 0 0 U M A S S 0 0 0 I K O 0 0 0 S A N S 
D A C R O N 0 A S T U D I N S C A R L E T 
E L R O 0 0 0 B U R N 0 D E P O T 0 I L A 
G O O D A N D R E A D 0 0 B E E R B E L L 
N U T 0 G A E A 0 V E E 0 A D D I E 0 0 0 
A S U S U A L 0 D E R M A L 0 0 0 N O D 0 
P A R T A N I M A L 0 B L L L F H E E E L 
0 L E A 0 0 0 O D E D O N 0 T A U S U B O 
0 0 0 R A T E D 0 R E D 0 R Y A N 0 V I E 
F A I R T A L E 0 0 L I V E R A T A R T T 
A I T 0 A D A L E 0 O E U F 0 0 0 C E E S 
B R A N D A L E X A N D E R 0 T H I S K E 
U P D O 0 0 0 D P S 0 0 0 Y A W E D 0 0 0 
L O D G E R S 0 L O G I N 0 B I T T A R S 
I R S 0 T H E S O G N D A N D T H E F U R 
S T U 0 T E P I D 0 A L L O U T 0 S O D A 
T S P 0 E A T M E 0 R E A L L Y 0 T R E S 
