M A S H E S 0 B A C K S T A B 0 A P E R S 
C R E O L E 0 A R I S O I D E 0 R E B E L 
F O R G O C O L D T U R K E Y 0 C R O C I 
L O R G N E T T E 0 0 A T E 0 S A I L O N 
Y M A 0 0 D O O N E S I O R B I D D I N G 
0 0 0 E L E E 0 0 R E E K 0 E L I O 0 0 0 
A B I D E 0 0 C A S T 0 0 A L L A T S E A 
F O R G I V E U S T H E S D A Y 0 0 E N C 
O B O E 0 I M P S 0 0 N A R Y 0 B U T T E 
G O N D O L A 0 0 E L U D E 0 P A T D R Y 
0 0 F O R A G E A P P R O P R I A T E 0 0 
A L E U T S 0 C H O S E 0 0 E L L E S H E 
M I N T S 0 B L O C 0 0 I O N A 0 R I R S 
P V C 0 0 M L A Y H A R D T O F O R G R T 
S E E D C O A T 0 0 F O R E 0 0 M O N D O 
0 0 0 E I R E 0 C F O S 0 0 P S S T 0 0 0 
G R I N E E D T O R B E A B I T 0 0 E L F 
L E V I T T 0 L A E 0 0 N E A R F A T A L 
A M A Z E 0 E I R R I D S R F O R T U N E 
D I N E R 0 N C S E R S E E 0 P E E D E E 
S T A N S 0 G E E S S T L T 0 A R I S E S 
