C C L A M P 0 F O N T 0 I G L U 0 T B O N E S 
F L O R I O 0 O M O O 0 T R I P 0 A B S E N T 
L A W N B O W L I N G 0 S O C I A L C H A I R 
A R L O 0 R E D S E A 0 E V E N S O 0 A L D A 
T O Y S 0 M A P S 0 S A L E 0 T I N S 0 E S P 
0 0 0 0 L A N A I S 0 I F S 0 H A S T A 0 0 0 
O R I G I N 0 G O U L D 0 0 Z E N 0 A M I 0 0 
R E N A L 0 F E N C E 0 P S A T 0 A P I C E S 
B E D S I D E S 0 H I D A L G O 0 S H E E T S 
S L O T 0 A L O E 0 A R N E 0 P O E 0 S C A G 
0 0 0 A I R D A T E 0 A D A M A N C Y 0 A P T 
H A S P S 0 M A D M A G A Z I N E 0 A L P E S 
O S H 0 S W A N S O N G 0 E N D L A T E 0 0 0 
S T E P 0 I N D 0 T I E D 0 X B O X 0 S H O E 
P O K E A T 0 B E E T R E D 0 O V E R H A N D 
S P E N D S 0 A U R A 0 C O M T E 0 O A R E D 
0 0 L A M 0 A R R 0 0 B A D A T 0 R U N D R Y 
0 0 0 L A T K E 0 S L R 0 I R O B O T 0 0 0 0 
T A N 0 N O E L 0 T E R A 0 A M A S 0 B T E N 
U L E E 0 P L I E R S 0 P A T R I A 0 R A V E 
N E W S C H A N N E L 0 S C H O O L P A P E R 
A R E T H A 0 E S A I 0 E N O W 0 I C H I R O 
S T R A I T 0 D E K E 0 S E N S 0 E B E R T S 
