C O A G U L A T E 0 P N C P A R K 0 M U Y 
O B S E S S I O N 0 R O S A L I E 0 I N E 
W A N T E D D E A D O R A L I V E 0 C B S 
A M E S S 0 0 0 0 D U M 0 0 0 0 P S H A W 
N A R C 0 B U R N E D A T T H E S T A K E 
0 0 0 L I E N E E 0 0 0 A R I A 0 R E E D 
0 H O O K E D O N P H O N I C S 0 A L D O 
T E R S E 0 0 0 A T A N 0 0 0 E A T 0 0 0 
S I D E S T E P 0 A L E K E G 0 T I D A L 
E G E R 0 B L E S S E D E V E N T 0 E L I 
T H A 0 M A L T A 0 0 0 N O T O N 0 B A N 
S T L 0 C R A C K E D J O K E S 0 A R M E 
E S S A I 0 S O I S E E 0 E M E R S I O N 
0 0 0 T I O 0 0 0 P E T A 0 0 0 O P E D S 
F A I T 0 G R O U N D E D F O R L I F E 0 
A L G A 0 R E B S 0 0 0 A I M F O R 0 0 0 
T O U C H E D I N T H E H E A D 0 A S S T 
C H A K A 0 0 0 0 H A M 0 0 0 0 E T A P E 
E A N 0 D R E S S E D T O T H E N I N E S 
L O A 0 I T S O N M E 0 F O O T N O T E S 
L E S 0 N E S T L E S 0 A I R C A N A D A 
