N O R M A N S 0 0 S G T 0 A S P 0 0 O B J 
O V E R L A Y 0 D U O S 0 B O R N 0 M A O 
P U P I L S S L I P U P 0 B L O O P E R S 
E M O 0 0 S T A M E N 0 B E A C H B A B E 
0 0 0 A D A 0 P E R S E U S S U E S R E P 
W A N T O U T 0 0 B A I T 0 T R A 0 A T H 
E Q U I P 0 A U P A I R 0 O Y E R S 0 0 0 
B U T T R E S S E D D E S S E R T T U B 0 
B A S 0 0 L E N Z 0 0 0 A H A 0 0 U R L S 
0 0 0 L I B R A 0 S U B P A R R A P B U S 
E L T O R O 0 0 A U N T S 0 0 A R I S E N 
W A R S A W W A S R A W 0 L A S E D 0 0 0 
E P E E 0 0 H I T 0 0 0 D E N T 0 0 U F O 
0 D E R O G A T I V E E V I T A G O R E D 
0 0 0 S P O T S 0 E X T R A S 0 A W G E E 
U M A 0 U P A 0 P A P A 0 0 Y E S L E T S 
G I G O L O S S O L O G I G 0 R P S 0 0 0 
S C E N E S H O P 0 S E N T R A 0 0 T W A 
O R I E N T A L 0 X E R X E S S E X R E X 
M O S 0 T A M E 0 I T E S 0 V E N T U R E 
E S T 0 0 L E S 0 S O S 0 0 P R O C E E D 
