# LETT	WORDS
# monday
97.84	93.42
92.51	83.33
95.29	83.33
96.26	88.16
87.36	67.95
100.0	100.0
93.65	80.26
94.83	84.93
90.67	75.68
94.24	82.89
100.0	100.0
97.33	89.74
97.84	93.59
90.91	83.33
98.94	94.74
95.81	85.53
83.96	64.47
97.84	93.59
92.51	79.49
97.35	90.54
93.65	84.21
91.53	78.95
95.08	89.47
93.72	83.33
98.93	94.29
88.21	68.06
92.55	80.77
96.79	89.74
93.51	81.58
97.93	93.24
90.37	78.95
97.33	91.03
97.88	93.24
98.93	94.87
98.93	96.05
96.3	89.47
97.88	93.59
83.77	67.95
92.06	75.0
98.41	94.87
96.79	89.47
94.05	82.89
97.35	89.74
97.33	91.03
91.53	71.79
99.47	97.44
96.26	89.47
95.72	87.18
95.19	87.18
97.27	91.25
98.93	94.74
97.3	92.11
98.95	95.95
90.58	75.64
96.3	88.16
95.77	89.47
96.79	89.74
99.47	97.44
98.38	93.42
91.94	76.92
88.36	73.68
96.22	87.84
95.68	85.53
96.83	88.46
95.19	85.9
84.66	66.67
98.94	96.15
95.72	88.16
98.93	96.05
97.88	93.42
94.12	87.18
95.19	87.18
89.84	75.0
99.47	97.37
84.13	69.23
92.9	86.49
94.12	80.26
96.22	87.84
100.0	100.0
93.12	82.89
92.59	80.77
99.48	97.37
97.86	92.31
95.72	85.53
93.5	75.95
95.77	88.46
95.29	89.74
97.35	89.74
91.58	82.05
96.26	86.84
96.76	89.74
91.44	77.03
95.19	82.89
89.95	73.68
91.98	81.08
91.35	78.95
100.0	100.0
95.14	85.9
99.47	97.44
97.3	91.03
95.72	89.74
87.3	65.38
91.71	80.56
98.38	94.87
97.86	92.31
90.37	75.64
91.62	75.0
94.21	84.21
98.95	94.74
90.27	81.58
99.47	97.37
96.79	88.46
93.92	84.21
91.98	78.21
89.42	73.08
98.4	93.24
95.72	88.16
100.0	100.0
98.93	96.15
92.67	80.26
98.94	96.05
96.83	89.74
88.89	70.51
93.16	82.43
95.24	84.62
94.71	85.53
94.09	80.77
90.91	76.92
84.32	61.54
100.0	100.0
91.44	76.92
94.71	83.33
97.86	92.31
90.81	76.92
96.79	87.18
86.32	65.38
91.98	79.49
88.24	71.79
91.01	73.68
90.21	79.01
97.88	93.59
95.81	88.46
96.47	89.33
91.16	76.92
96.28	87.18
98.93	94.87
96.83	89.74
96.83	89.74
96.86	89.74
88.11	68.42
93.51	77.63
97.91	92.11
95.19	84.21
97.87	93.24
97.88	92.31
93.58	81.58
95.24	85.9
92.43	80.26
97.86	93.59
96.26	87.18
92.59	82.89
97.86	91.89
97.3	92.11
96.79	87.18
100.0	100.0
98.43	94.74
93.62	82.89
92.59	76.92
98.4	93.24
91.44	79.49
94.18	84.62
89.95	78.21
98.93	94.59
97.89	90.28
97.33	92.31
92.67	80.26
95.19	87.18
98.41	92.11
95.72	89.47
97.3	91.03
94.05	82.89
94.12	87.18
98.92	94.74
93.58	79.49
89.42	82.05
98.41	94.74
92.55	80.26
98.4	92.31
84.49	64.1
98.41	94.87
93.65	80.26
97.33	89.74
92.51	78.95
87.43	68.42
96.72	89.74
96.26	88.46
93.05	78.21
95.14	85.14
96.22	88.46
97.41	90.79
96.28	91.03
95.19	84.62
95.24	84.21
96.76	89.74
93.05	79.49
100.0	100.0
89.3	71.79
94.18	85.53
96.3	85.9
94.65	82.43
92.55	77.63
96.22	92.11
93.65	78.21
86.49	66.67
97.91	92.11
98.4	94.59
94.68	85.9
95.72	86.84
96.22	85.9
93.05	84.21
95.29	85.9
97.3	89.47
98.93	94.87
95.63	86.84
93.05	85.53
94.59	85.53
97.81	93.42
96.76	91.03
100.0	100.0
96.34	85.9
96.3	87.84
90.4	74.68
99.47	97.44
98.95	96.05
92.51	80.77
98.93	96.15
98.92	96.15
95.77	85.53
93.72	82.05
88.42	73.08
97.86	91.03
99.46	97.44
92.97	80.26
89.95	75.64
97.86	93.42
96.17	87.18
96.26	86.84
97.35	91.03
96.26	87.18
94.65	90.0
92.59	75.0
89.36	75.68
92.15	80.26
94.24	84.21
90.27	74.32
96.79	91.03
91.44	82.89
98.41	93.59
94.55	85.19
96.3	88.16
# tuesday
89.19	78.21
89.42	80.26
89.12	77.03
94.15	82.43
98.38	94.87
92.51	82.05
94.59	83.33
95.81	89.47
94.65	84.21
92.06	75.64
97.88	91.03
89.95	75.0
95.19	85.9
91.1	77.03
98.39	94.87
96.79	88.75
86.77	70.0
97.33	92.31
95.63	88.46
87.83	72.37
90.48	75.64
94.65	82.89
93.12	79.73
94.71	83.33
99.47	97.44
98.55	91.94
97.89	91.89
99.48	97.37
84.49	62.82
92.51	82.05
91.1	80.26
91.91	75.71
97.86	93.42
99.46	97.44
89.12	75.68
88.77	76.32
94.65	82.89
98.41	94.74
93.99	88.16
89.42	72.37
98.4	94.74
83.96	61.54
91.44	76.92
94.68	85.9
97.88	93.59
95.19	84.62
97.38	90.79
91.44	82.43
91.98	76.92
97.85	93.59
89.84	77.63
96.26	86.84
93.58	79.49
98.37	93.06
100.0	100.0
97.87	90.79
92.51	78.75
97.34	90.28
92.06	76.92
91.98	76.92
98.94	95.83
93.05	79.49
98.93	96.15
97.84	93.59
96.97	89.87
95.72	84.62
91.98	75.0
94.12	82.05
100.0	100.0
98.38	94.74
96.86	89.47
89.84	83.78
95.72	86.84
92.67	81.08
96.22	88.46
88.89	75.64
98.93	96.05
97.35	90.79
99.47	97.5
88.77	78.95
95.77	86.84
96.26	87.18
94.18	79.49
95.68	85.53
97.86	90.54
92.51	82.05
93.68	85.53
96.3	87.5
94.12	79.49
91.53	78.21
97.33	90.79
95.24	87.84
93.65	79.49
97.35	90.54
99.47	97.44
93.51	80.49
93.58	82.05
93.58	80.26
93.19	77.63
90.37	71.79
95.19	84.21
91.33	80.25
89.95	74.36
94.65	82.89
92.59	79.49
98.4	93.42
92.11	80.26
93.07	77.78
86.7	68.92
95.19	89.74
97.35	91.03
95.19	85.53
92.43	77.63
97.87	90.79
95.29	84.21
100.0	100.0
92.63	81.58
91.44	76.92
88.36	72.97
